연번,조사기관(자료회신기관),업소명,품목명,품목기준코드,품목구분,제조/수입,전문/일반,조사 항목,,,,,,,해당 품목 자료 작성자 정보,,
,,,,,,,,"부작용피해구제 안내문구 표시 여부
(포장, 용기, 첨부문서 중 일부라도 표시한 경우, O)
(포장, 용기, 첨부문서 어느 곳에도 전혀 표시하지 않은 경우, X)","피해구제 표준도안 사용여부
(포장, 용기, 첨부문서 중 일부라도 표시한 경우, O)
(포장, 용기, 첨부문서 어느 곳에도 전혀 표시하지 않은 경우, X)",표시위치,"구체적인 표시 문구
(포장, 용기, 첨부문서 각각)","미표시 사유
(포장, 용기, 첨부문서 어느 곳에도 전혀 표시하지 않은 경우만 작성)","향후 표시 계획(시기)
(포장, 용기, 첨부문서 어느 곳에도 전혀 표시하지 않은 경우만 작성)",건의사항,이름,전화번호,이메일주소
143,한국바이오의약품협회,(주)보령바이오파마,비알클래건조시럽125mg/5mL(클래리트로마이신),201500104,의약품,제조,전문의약품,,,,,,,,,,
144,한국바이오의약품협회,(주)보령바이오파마,비알클래건조시럽250mg/5mL(클래리트로마이신),201500105,의약품,제조,전문의약품,,,,,,,,,,
145,한국바이오의약품협회,(주)보령바이오파마,비알헤데푸시럽(아이비엽70%에탄올유동엑스),201500120,한약(생약)제제등,제조,일반의약품,,,,,,,,,,
146,한국바이오의약품협회,(주)보령바이오파마,비알에스락산(바실루스리케니포르미스균),201500121,의약품,제조,일반의약품,,,,,,,,,,
147,한국바이오의약품협회,(주)보령바이오파마,비알에스락캡슐(바실루스리케니포르미스균),201500122,의약품,제조,일반의약품,,,,,,,,,,
148,한국바이오의약품협회,(주)보령바이오파마,비알펠카민시럽(펠라고니움시도이데스11%에탄올추출물(1→8∼10)·글리세린혼합액(8:2)),201500228,한약(생약)제제등,제조,전문의약품,,,,,,,,,,
149,한국바이오의약품협회,(주)보령바이오파마,비알덱시펜정(덱시부프로펜디.씨),201500245,의약품,제조,전문의약품,,,,,,,,,,
150,한국바이오의약품협회,(주)보령바이오파마,아스톨패취0.5밀리그램(툴로부테롤),201504261,의약품,제조,전문의약품,,,,,,,,,,
151,한국바이오의약품협회,(주)보령바이오파마,아스톨패취1밀리그램(툴로부테롤),201504262,의약품,제조,전문의약품,,,,,,,,,,
152,한국바이오의약품협회,(주)보령바이오파마,아스톨패취2밀리그램(툴로부테롤),201504263,의약품,제조,전문의약품,,,,,,,,,,
153,한국바이오의약품협회,(주)보령바이오파마,알림시드주800밀리그램(페메트렉시드이나트륨염2.5수화물),201505185,의약품,제조,전문의약품,,,,,,,,,,
154,한국바이오의약품협회,(주)보령바이오파마,비알뮤코캡슐(아세틸시스테인),201507620,의약품,제조,일반의약품,,,,,,,,,,
155,한국바이오의약품협회,(주)보령바이오파마,비알뮤코과립(아세틸시스테인),201507724,의약품,제조,일반의약품,,,,,,,,,,
156,한국바이오의약품협회,(주)보령바이오파마,보령플루V테트라백신주(프리필드시린지)(인플루엔자분할백신),201604420,생물의약품,제조,전문의약품,,,,,,,,,,
157,한국바이오의약품협회,(주)보령바이오파마,액트에어설하정유지치료단계,201606294,의약품,수입,전문의약품,,,,,,,,,,
158,한국바이오의약품협회,(주)보령바이오파마,액트에어설하정초기치료단계,201606295,의약품,수입,전문의약품,,,,,,,,,,
159,한국바이오의약품협회,(주)보령바이오파마,비알세티액(레보세티리진염산염),201606429,의약품,제조,전문의약품,,,,,,,,,,
160,한국바이오의약품협회,(주)보령바이오파마,페리퓨어1.5%액,201606583,의약품,제조,전문의약품,,,,,,,,,,
